OrderID,Date,Region,Category,Product,UnitsSold,UnitPrice,Revenue,CustomerSegment
ORD-1000,2025-01-03,London,Custom Grillz,Gold Grillz,3,613.89,1841.67,Returning Customer
ORD-1001,2025-01-03,London,Watches,Smart Watch,2,446.8,893.6,Returning Customer
ORD-1002,2025-01-03,South East,Accessories,Tie Clip,3,51.47,154.41,VIP
ORD-1003,2025-01-04,London,Custom Grillz,Gold Grillz,1,1034.14,1034.14,Returning Customer
ORD-1004,2025-01-07,London,Jewellery,Bracelet,4,224.92,899.68,Returning Customer
ORD-1005,2025-01-08,Midlands,Custom Grillz,Diamond Grillz,2,940.35,1880.7,New Customer
ORD-1006,2025-01-09,South East,Accessories,Tie Clip,5,51.75,258.75,New Customer
ORD-1007,2025-01-11,South East,Watches,Dive Watch,2,431.56,863.12,Returning Customer
ORD-1008,2025-01-11,London,Watches,Dive Watch,5,431.01,2155.05,VIP
ORD-1009,2025-01-11,Scotland,Watches,Chronograph Watch,1,317.36,317.36,New Customer
ORD-1010,2025-01-13,South East,Jewellery,Gold Ring,1,225.61,225.61,New Customer
ORD-1011,2025-01-14,London,Accessories,Keyring,2,66.47,132.94,Returning Customer
ORD-1012,2025-01-15,Midlands,Custom Grillz,Gold Grillz,4,609.15,2436.6,Returning Customer
ORD-1013,2025-01-16,South East,Accessories,Tie Clip,2,62.58,125.16,Returning Customer
ORD-1014,2025-01-16,London,Custom Grillz,Diamond Grillz,2,643.18,1286.36,New Customer
ORD-1015,2025-01-16,London,Accessories,Wallet,4,36.8,147.2,Returning Customer
ORD-1016,2025-01-18,North West,Watches,Dress Watch,1,363.27,363.27,New Customer
ORD-1017,2025-01-20,Scotland,Watches,Chronograph Watch,1,507.59,507.59,New Customer
ORD-1018,2025-01-20,Wales,Watches,Chronograph Watch,1,244.37,244.37,New Customer
ORD-1019,2025-01-22,Midlands,Custom Grillz,Silver Grillz,2,619.68,1239.36,New Customer
ORD-1020,2025-01-23,Midlands,Watches,Smart Watch,1,550.82,550.82,New Customer
ORD-1021,2025-01-25,Wales,Watches,Dive Watch,3,358.6,1075.8,New Customer
ORD-1022,2025-01-28,London,Custom Grillz,Gold Grillz,4,768.49,3073.96,VIP
ORD-1023,2025-01-28,London,Accessories,Keyring,3,68.97,206.91,New Customer
ORD-1024,2025-02-01,Scotland,Watches,Smart Watch,1,258.17,258.17,Returning Customer
ORD-1025,2025-02-01,Wales,Jewellery,Gold Ring,2,187.69,375.38,Returning Customer
ORD-1026,2025-02-02,Midlands,Custom Grillz,Gold Grillz,2,601.48,1202.96,VIP
ORD-1027,2025-02-03,North West,Watches,Dive Watch,1,448.34,448.34,New Customer
ORD-1028,2025-02-05,London,Jewellery,Gold Ring,3,247.85,743.55,Returning Customer
ORD-1029,2025-02-05,North West,Custom Grillz,Silver Grillz,2,661.29,1322.58,New Customer
ORD-1030,2025-02-06,South East,Jewellery,Pendant,2,229.16,458.32,New Customer
ORD-1031,2025-02-06,Midlands,Jewellery,Gold Ring,3,124.23,372.69,Returning Customer
ORD-1032,2025-02-07,Midlands,Watches,Chronograph Watch,3,358.02,1074.06,New Customer
ORD-1033,2025-02-07,North West,Watches,Dive Watch,1,434.52,434.52,Returning Customer
ORD-1034,2025-02-07,Scotland,Accessories,Wallet,2,73.9,147.8,Returning Customer
ORD-1035,2025-02-07,North West,Jewellery,Bracelet,2,155.63,311.26,New Customer
ORD-1036,2025-02-07,South East,Watches,Dive Watch,6,457.97,2747.82,New Customer
ORD-1037,2025-02-08,London,Accessories,Wallet,1,45.1,45.1,New Customer
ORD-1038,2025-02-09,London,Watches,Dress Watch,3,325.97,977.91,Returning Customer
ORD-1039,2025-02-10,London,Jewellery,Bracelet,3,180.04,540.12,Returning Customer
ORD-1040,2025-02-11,North West,Watches,Smart Watch,1,363.81,363.81,New Customer
ORD-1041,2025-02-11,Midlands,Custom Grillz,Diamond Grillz,5,703.51,3517.55,Returning Customer
ORD-1042,2025-02-12,North West,Accessories,Cufflinks,4,46.06,184.24,VIP
ORD-1043,2025-02-12,North West,Jewellery,Silver Necklace,4,227.63,910.52,New Customer
ORD-1044,2025-02-12,Wales,Jewellery,Gold Ring,1,149.19,149.19,New Customer
ORD-1045,2025-02-13,London,Custom Grillz,Silver Grillz,3,860.69,2582.07,New Customer
ORD-1046,2025-02-16,Midlands,Watches,Dress Watch,1,526.12,526.12,Returning Customer
ORD-1047,2025-02-17,North West,Accessories,Tie Clip,3,38.33,114.99,VIP
ORD-1048,2025-02-17,Scotland,Accessories,Wallet,1,75.36,75.36,New Customer
ORD-1049,2025-02-18,London,Jewellery,Pendant,1,140.81,140.81,New Customer
ORD-1050,2025-02-19,London,Watches,Smart Watch,1,296.57,296.57,Returning Customer
ORD-1051,2025-02-24,London,Custom Grillz,Gold Grillz,3,421.77,1265.31,New Customer
ORD-1052,2025-02-24,South East,Jewellery,Silver Necklace,1,214.19,214.19,New Customer
ORD-1053,2025-02-24,North West,Custom Grillz,Gold Grillz,2,471.21,942.42,Returning Customer
ORD-1054,2025-02-26,London,Watches,Chronograph Watch,7,529.39,3705.73,Returning Customer
ORD-1055,2025-02-26,Wales,Custom Grillz,Diamond Grillz,2,884.52,1769.04,Returning Customer
ORD-1056,2025-02-26,Midlands,Accessories,Wallet,1,72.71,72.71,Returning Customer
ORD-1057,2025-03-02,North West,Custom Grillz,Diamond Grillz,3,1067.25,3201.75,New Customer
ORD-1058,2025-03-02,London,Jewellery,Pendant,3,312.61,937.83,New Customer
ORD-1059,2025-03-03,Midlands,Jewellery,Diamond Earrings,1,257.57,257.57,New Customer
ORD-1060,2025-03-04,North West,Custom Grillz,Diamond Grillz,1,855.09,855.09,New Customer
ORD-1061,2025-03-05,South East,Accessories,Keyring,1,31.24,31.24,New Customer
ORD-1062,2025-03-07,South East,Jewellery,Pendant,1,176.9,176.9,Returning Customer
ORD-1063,2025-03-08,London,Watches,Dive Watch,1,504.76,504.76,New Customer
ORD-1064,2025-03-08,South East,Jewellery,Bracelet,4,224.51,898.04,VIP
ORD-1065,2025-03-09,North West,Watches,Dive Watch,1,386.26,386.26,Returning Customer
ORD-1066,2025-03-09,Midlands,Jewellery,Pendant,1,306.14,306.14,New Customer
ORD-1067,2025-03-13,South East,Watches,Dress Watch,1,376.51,376.51,Returning Customer
ORD-1068,2025-03-13,North West,Accessories,Cufflinks,3,28.55,85.65,Returning Customer
ORD-1069,2025-03-14,London,Watches,Dress Watch,1,368.94,368.94,New Customer
ORD-1070,2025-03-15,South East,Jewellery,Gold Ring,3,226.7,680.1,Returning Customer
ORD-1071,2025-03-20,London,Watches,Dress Watch,1,454.27,454.27,Returning Customer
